"Porosity, fraction","Permeability, mD","Acoustic Impedance, kg*s/m^2","Density, g/cm3","Compressible velocity, m/s","Youngs modulus, GPa","Shear velocity, m/s","Shear modulus, GPa",Rock facies
0.1333,128.0979981197305,6981171.852999999,2.2801371417471823,3106.544655346839,24.721555028005053,1690.4171328028092,7.304717426422341,Sandstone
0.13865,98.18422585633931,7234748.871,2.135060843226809,4003.6970872092156,23.36072766042921,1573.8479665426569,5.2021201755426905,Sandstone
0.14637999999999998,98.62757871809754,7157383.755,1.9910446892179976,3462.5690300710853,28.23215157976105,1636.2791393023394,6.458443472693441,Sandstone
0.14171625,128.49509283957644,7230612.60125,1.6942419854801931,3836.9607019758882,29.220132093225175,1613.0430479499842,5.074763113147543,Sandstone
0.14993,120.94704449880628,7177348.749875001,1.6643712561622217,3919.585776629367,30.48250736524949,1636.846283897834,5.2778341721026845,Sandstone
0.1525,157.5246756414192,6975785.194,2.165118812976714,2850.9939450568404,22.57682137590121,1613.9443531956076,6.525136043560389,Sandstone
0.15500999999999998,125.89284931046845,7202545.188999997,1.499129282399088,4523.6027000859585,34.80123879633729,1786.9347831165203,5.118336642039396,Sandstone
0.15843,169.20481085918956,7071741.046,2.2792208361022044,2880.5224506183254,22.608216723283164,1641.1312862125367,7.470394438278165,Sandstone
0.16004000000000002,143.86089052279277,6970094.357999999,2.1887528358945167,3015.5993140040405,23.17184133934027,1830.3968734151722,5.303365904472496,Sandstone
0.07066,24.08296845346554,7836617.444,3.250633783805993,2192.474932570087,18.2824689271527,1649.5462731972766,8.764372445467894,Sandy shale
0.07276,33.682165124274974,7445642.705,3.184170204201418,2350.3216127603355,18.83760606980724,1610.4674633905868,7.989805447637918,Sandy shale
0.13699999999999998,89.29955705142564,7336188.98,1.8117307980545887,3767.966719314776,30.52017900388972,1622.4684441544186,6.334974437822383,Shaly sandstone
0.13024000000000002,80.6857663576328,7317351.86,2.0336671410906373,3835.851164534192,27.256466568263637,1703.091830928142,6.642383743743073,Shaly sandstone
0.1396,114.8412716055054,7057105.7689999975,2.1179517145162507,2812.4816670340197,22.901180297334772,1853.8565342021768,6.694957736777607,Sandstone
0.14662625,124.65193671565602,7167792.5529999975,2.142143510863746,3099.416514052051,28.23910897313333,1581.9857141472687,4.715880162507833,Sandstone
0.14681,189.11697396467773,7112052.852000001,2.2764616352808216,2976.252716128869,21.196485132741575,1654.973794304793,6.32114574127127,Sandstone
0.14719000000000002,142.71268943809963,7230527.957375,2.3922199798488064,2832.507852052009,20.49510295126695,1514.6911626000863,6.783677635840738,Sandstone
0.1469,113.22473563287689,7341491.837999999,1.5900405014924628,4905.749053984589,33.308593873934115,1582.032837060878,5.49994697288192,Sandstone
0.15361,145.7583256332247,6981515.306,1.6072751076433434,4214.779801380164,33.345386865945905,1795.696558475932,5.056061533722155,Sandstone
0.06265,36.48078841757885,7768757.2420000015,2.560526177647947,2853.4268821450646,23.79681555544441,1589.6178340956371,7.6488183505782095,Sandy shale
0.16515,193.28850875934918,6987280.06,2.0135141476095573,3452.2911087918046,24.83247409373561,1606.2526147435026,4.197027185617531,Sandstone
0.16562000000000002,259.74961799744096,6900103.869,1.6783387253807884,4105.1999624590535,28.56813760676869,1661.2902133695193,4.531664002050342,Sandstone
0.16688,127.6555441235465,7114981.296,1.8234229740082104,3489.9718321594373,25.14215128905011,1693.5227551239234,6.1532941471007305,Sandstone
0.16968,270.7976953529707,6979479.3560000025,1.7670411631247849,4181.260033078872,23.72552685250336,1762.0457321291822,3.5161537111779415,Sandstone
0.16552999999999998,217.59775513009689,7178261.94,1.7998819508851582,4131.913803932359,27.860109652527786,1868.5350334142195,4.015978288087036,Sandstone
0.05514999999999999,34.83382854010209,8011859.0079999985,3.120177510619449,2802.475954969857,23.565890383698978,1662.7068117518947,10.495367180398317,Sandy shale
0.12519,76.66738868929485,7475518.85,2.1930085624600846,3442.5405270838924,25.79199755435668,1716.114567833437,7.621862583324707,Shaly sandstone
0.13232,99.36427870427642,7355239.949,1.7968431824089135,4104.740315243974,30.386820531130187,1595.1007667116144,5.831524060870607,Shaly sandstone
0.13982999999999998,111.17004566251426,7285425.884,2.3176199035291445,2669.986483173756,24.34348932529579,1653.3613254649204,7.011412366213286,Shaly sandstone
0.13883,110.718599144514,7156247.18,2.3254128408468597,3250.1334179856676,22.20109331632524,1683.4527729400045,7.243716841510477,Sandstone
0.14405,120.13866134431309,7119358.985,2.091421301648709,3887.6505605095454,25.583198490927725,1644.161329743052,6.577413081706816,Sandstone
0.15441,126.78359059435651,7195397.790625,2.015555984316426,3407.0640790084626,22.65727010249671,1619.441824974971,6.719795263451169,
0.06948,35.29329974945502,7705429.781,2.6638885846537126,3226.550824567468,20.510042843565163,1685.112434504267,6.694376047940412,Sandy shale
0.09208999999999999,54.67015315096309,7551326.259,1.6562300250643809,4665.157363556091,36.27317385588671,1650.1589927018024,4.9710568489926485,Shaly sandstone
0.06708,26.230007183277976,7785667.638999999,2.863848728705834,2574.6926891340067,23.035324705085177,1756.5472121717057,9.211878146262997,Sandy shale
0.06629,35.94675147872364,7771041.288,2.716655521646282,2907.0064447732752,21.799123682593194,1462.392048295703,7.243642667428454,Sandy shale
0.13195,108.88217037391576,7048428.636,1.7745782407325483,4339.211973190545,25.931668672135352,1683.1977922830242,5.7602019263519875,Shaly sandstone
0.14257875,118.4673293243519,7159022.9470000025,1.8545315087359544,3540.000833739762,27.340550413282944,1578.9706867562338,7.0774728612177285,Shaly sandstone
0.14274,91.8848600160651,7274479.991,2.1956725295670045,3231.2521134891185,27.39149124895753,1763.6764493902524,7.422539519742577,Shaly sandstone
0.15654,129.58525413936303,7292463.3270000005,2.2084974667104467,3482.579873301196,25.905032907155466,1785.7417804432764,5.6123011679159305,Shaly sandstone
0.14612750000000002,129.78069813297367,7279665.002,2.029129910691159,3685.8500161523984,22.186285952420914,1760.4870067459847,5.979633750388711,Sandstone
0.13865,93.76343865795408,7282760.121,2.099587586231344,3483.745651990657,23.644030210514174,1608.8932585178884,6.539248372603757,
0.14321,123.98811427935792,7062904.66,1.8004756581054049,3965.350116341911,32.60810338536536,1691.501154071922,4.796213767717425,Sandstone
0.15489,143.2063823936661,7161996.766,1.7899207807265654,3679.1985975745692,24.433675360801363,1741.5460709176666,6.606055676278994,Sandstone
0.15449000000000002,125.64348273681463,7376326.212999999,2.037831024440575,3937.494988198527,27.501453705236397,1740.5555046664729,5.101164239139512,Sandstone
0.1419625,101.6368335237658,7242941.81,1.9527260424840995,3859.9803680186888,28.965731101149718,1615.687549295357,5.357853119554052,Sandstone
0.05879999999999999,42.529813560071105,7827605.936125,1.5369785366319149,5175.863293790469,38.099322357070335,1772.7220435096924,2.7990673731780147,Shale
0.06577000000000001,45.104181616178764,7862608.344,1.7995586465199682,3971.4825577266242,38.686202171460316,1591.900258150333,4.7299707558078925,Shale
0.13237000000000002,103.77546898385337,7488273.0989999985,2.323401597782488,2787.594641681219,24.10749099413156,1616.579069349867,8.14030300938885,Shaly sandstone
0.13166,92.9024554067561,7494265.92,1.7899157044815919,4098.635042050413,32.16342938513925,1642.9190808705998,5.397300273721352,
0.13224,85.03676836464486,7247639.69,1.9613866096604404,3825.247508204557,26.08334722057828,1669.128620311029,5.985948469813152,Shaly sandstone
0.14442,131.50376046291456,7223813.876,1.6123348795360557,4514.923244052122,33.81443207466001,1703.2760490350502,4.543025256583364,Shaly sandstone
